Cenario;Provedor;Selecao
FLAT;Microsoft Azure;0.252544
FLAT;Amazon AWS;0.245309
FLAT;Google Cloud;0.251916
FLAT;Rackspace;0.249572
FLAT;Microsoft Azure;0.250175
FLAT;Amazon AWS;0.252215
FLAT;Google Cloud;0.248038
FLAT;Rackspace;0.247815
FLAT;Microsoft Azure;0.256302
FLAT;Amazon AWS;0.24093
FLAT;Google Cloud;0.254952
FLAT;Rackspace;0.250965
FLAT;Microsoft Azure;0.248167
FLAT;Amazon AWS;0.254737
FLAT;Google Cloud;0.246131
FLAT;Rackspace;0.25082
FLAT;Microsoft Azure;0.249232
FLAT;Amazon AWS;0.252516
FLAT;Google Cloud;0.247431
FLAT;Rackspace;0.244745
FLAT;Microsoft Azure;0.259852
FLAT;Amazon AWS;0.24005
FLAT;Google Cloud;0.255353
FLAT;Rackspace;0.248007
FLAT;Microsoft Azure;0.252653
FLAT;Amazon AWS;0.250576
FLAT;Google Cloud;0.248764
FLAT;Rackspace;0.250989
FLAT;Microsoft Azure;0.248961
FLAT;Amazon AWS;0.253129
FLAT;Google Cloud;0.24692
FLAT;Rackspace;0.250806
FLAT;Microsoft Azure;0.248069
FLAT;Amazon AWS;0.255277
FLAT;Google Cloud;0.245848
FLAT;Rackspace;0.25
FLAT;Microsoft Azure;0.250174
FLAT;Amazon AWS;0.251901
FLAT;Google Cloud;0.247925
FLAT;Rackspace;0.247755
FLAT;Microsoft Azure;0.256195
FLAT;Amazon AWS;0.240145
FLAT;Google Cloud;0.255906
FLAT;Rackspace;0.250182
FLAT;Microsoft Azure;0.250333
FLAT;Amazon AWS;0.25091
FLAT;Google Cloud;0.248574
FLAT;Rackspace;0.250525
FLAT;Microsoft Azure;0.248916
FLAT;Amazon AWS;0.253146
FLAT;Google Cloud;0.247413
FLAT;Rackspace;0.250759
FLAT;Microsoft Azure;0.249006
FLAT;Amazon AWS;0.252524
FLAT;Google Cloud;0.247711
FLAT;Rackspace;0.250862
FLAT;Microsoft Azure;0.249088
FLAT;Amazon AWS;0.252037
FLAT;Google Cloud;0.248014
FLAT;Rackspace;0.249307
FLAT;Microsoft Azure;0.250947
FLAT;Amazon AWS;0.251297
FLAT;Google Cloud;0.248449
FLAT;Rackspace;0.248014
FLAT;Microsoft Azure;0.258335
FLAT;Amazon AWS;0.236227
FLAT;Google Cloud;0.257425
FLAT;Rackspace;0.250622
FLAT;Microsoft Azure;0.248962
FLAT;Amazon AWS;0.254053
FLAT;Google Cloud;0.246362
FLAT;Rackspace;0.250072
FLAT;Microsoft Azure;0.249229
FLAT;Amazon AWS;0.253673
FLAT;Google Cloud;0.247027
FLAT;Rackspace;0.249957
FLAT;Microsoft Azure;0.252385
FLAT;Amazon AWS;0.246551
FLAT;Google Cloud;0.251107
FLAT;Rackspace;0.2466
FLAT;Microsoft Azure;0.256628
FLAT;Amazon AWS;0.2412
FLAT;Google Cloud;0.255572
FLAT;Rackspace;0.249924
FLAT;Microsoft Azure;0.251136
FLAT;Amazon AWS;0.249533
FLAT;Google Cloud;0.249407
FLAT;Rackspace;0.250624
FLAT;Microsoft Azure;0.249604
FLAT;Amazon AWS;0.25116
FLAT;Google Cloud;0.248612
FLAT;Rackspace;0.250532
FLAT;Microsoft Azure;0.249049
FLAT;Amazon AWS;0.253336
FLAT;Google Cloud;0.247082
FLAT;Rackspace;0.250135
FLAT;Microsoft Azure;0.248886
FLAT;Amazon AWS;0.254477
FLAT;Google Cloud;0.246502
FLAT;Rackspace;0.250393
FLAT;Microsoft Azure;0.249844
FLAT;Amazon AWS;0.251909
FLAT;Google Cloud;0.247854
FLAT;Rackspace;0.24965
FLAT;Microsoft Azure;0.251712
FLAT;Amazon AWS;0.248442
FLAT;Google Cloud;0.250196
FLAT;Rackspace;0.250575
FLAT;Microsoft Azure;0.249203
FLAT;Amazon AWS;0.252484
FLAT;Google Cloud;0.247738
FLAT;Rackspace;0.249224
FLAT;Microsoft Azure;0.249944
FLAT;Amazon AWS;0.253793
FLAT;Google Cloud;0.247039
FLAT;Rackspace;0.249992
FLAT;Microsoft Azure;0.249865
FLAT;Amazon AWS;0.252261
FLAT;Google Cloud;0.247882
FLAT;Rackspace;0.250879
FLAT;Microsoft Azure;0.248815
FLAT;Amazon AWS;0.252929
FLAT;Google Cloud;0.247377
FLAT;Rackspace;0.249758
FLAT;Microsoft Azure;0.250175
FLAT;Amazon AWS;0.252573
FLAT;Google Cloud;0.247493
FLAT;Rackspace;0.245891
FLAT;Microsoft Azure;0.255548
FLAT;Amazon AWS;0.245678
FLAT;Google Cloud;0.252883
FLAT;Rackspace;0.251058
FLAT;Microsoft Azure;0.248214
FLAT;Amazon AWS;0.254305
FLAT;Google Cloud;0.246424
FLAT;Rackspace;0.249537
FLAT;Microsoft Azure;0.255429
FLAT;Amazon AWS;0.24028
FLAT;Google Cloud;0.254754
FLAT;Rackspace;0.250693
FLAT;Microsoft Azure;0.249598
FLAT;Amazon AWS;0.251487
FLAT;Google Cloud;0.248221
FLAT;Rackspace;0.249728
FLAT;Microsoft Azure;0.249032
FLAT;Amazon AWS;0.25493
FLAT;Google Cloud;0.24631
FLAT;Rackspace;0.247733
FLAT;Microsoft Azure;0.251279
FLAT;Amazon AWS;0.253827
FLAT;Google Cloud;0.247161
FLAT;Rackspace;0.249465
FLAT;Microsoft Azure;0.251152
FLAT;Amazon AWS;0.249881
FLAT;Google Cloud;0.249502
FLAT;Rackspace;0.250705
FLAT;Microsoft Azure;0.249589
FLAT;Amazon AWS;0.251882
FLAT;Google Cloud;0.247824
FLAT;Rackspace;0.247628
FLAT;Microsoft Azure;0.256103
FLAT;Amazon AWS;0.241941
FLAT;Google Cloud;0.254328
FLAT;Rackspace;0.250655
FLAT;Microsoft Azure;0.248628
FLAT;Amazon AWS;0.253719
FLAT;Google Cloud;0.246997
FLAT;Rackspace;0.249836
FLAT;Microsoft Azure;0.251487
FLAT;Amazon AWS;0.247826
FLAT;Google Cloud;0.250851
FLAT;Rackspace;0.247986
FLAT;Microsoft Azure;0.254961
FLAT;Amazon AWS;0.242975
FLAT;Google Cloud;0.254078
FLAT;Rackspace;0.249872
FLAT;Microsoft Azure;0.249353
FLAT;Amazon AWS;0.253388
FLAT;Google Cloud;0.247386
FLAT;Rackspace;0.250346
FLAT;Microsoft Azure;0.249941
FLAT;Amazon AWS;0.251447
FLAT;Google Cloud;0.248266
FLAT;Rackspace;0.250087
FLAT;Microsoft Azure;0.251092
FLAT;Amazon AWS;0.248793
FLAT;Google Cloud;0.250028
FLAT;Rackspace;0.250054
FLAT;Microsoft Azure;0.250659
FLAT;Amazon AWS;0.249994
